Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Pas,Consommation du Body Battery,Décompression,Temps du meilleur circuit,Nombre de tours,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2026-05-31 08:59:53,false,"Templeuve-en-Pévèle Course à pied","5.06","247","00:24:19","176","189","187","196","4:48","3:54","11","14","1.11","--","--","0.0","4,494","'-11","Non","00:00:20.0","6","00:24:17","00:24:22","27","44"
Course à pied,2026-05-29 07:17:58,false,"Camphin-en-Pévèle Course à pied","7.34","379","00:50:19","138","152","172","181","6:52","5:44","12","12","0.85","--","--","0.0","8,666","'-14","Non","00:02:17.6","8","00:50:16","00:50:25","47","57"
Course à pied,2026-05-27 12:04:56,false,"Camphin-en-Pévèle Course à pied","7.33","400","00:47:28","152","167","173","180","6:29","5:42","19","17","0.89","--","--","0.0","8,232","'-12","Non","00:02:10.0","8","00:47:25","00:47:31","47","59"
Course à pied,2026-05-23 09:10:46,false,"Fretin Course à pied","21.20","1,201","02:12:40","165","187","171","185","6:15","5:10","87","89","0.93","--","--","0.0","22,756","'-25","Non","00:01:05.4","22","02:12:29","02:12:59","23","49"
Course à pied,2026-05-20 17:21:10,false,"Libercourt - 16x400m","10.03","544","01:00:00","161","188","163","247","5:59","3:24","30","32","1.00","--","--","0.0","9,768","'-11","Non","00:01:00","35","00:59:10","01:00:16","27","35"
Course à pied,2026-05-19 19:45:56,false,"Bachy Course à pied","7.07","386","00:43:44","155","176","171","180","6:11","5:15","30","33","0.95","--","--","0.0","7,474","'-6","Non","00:00:26.1","8","00:43:36","00:43:52","54","77"
Course à pied,2026-05-18 18:13:25,false,"Camphin-en-Pévèle Course à pied","10.01","517","00:57:48","157","177","174","184","5:46","5:02","19","18","0.99","--","--","0.0","10,058","'-10","Non","00:00:03.1","11","00:57:45","00:57:48","47","59"
Course à pied,2026-05-16 10:37:08,false,"Libercourt - Terril libercourt","14.05","727","01:29:05","149","184","168","244","6:21","4:31","139","139","0.94","--","--","0.0","14,982","'-22","Non","00:00:01.7","23","01:28:15","01:31:15","27","55"
Marche à pied,2026-05-15 18:24:42,false,"Attiches Marche à pied","7.15","317","01:22:04","88","172","121","193","11:29","3:46","40","39","0.72","--","--","0.0","9,916","'-5","Non","00:01:44.9","8","01:20:46","01:22:04","31","62"
Course à pied,2026-05-13 17:17:24,false,"Camphin-en-Pévèle - Fractionné 30/30","7.76","416","00:50:36","154","187","166","225","6:31","2:57","10","9","0.91","--","--","0.0","8,316","'-11","Non","00:00:26.0","38","00:50:30","00:50:36","48","57"
Course à pied,2026-05-12 18:37:25,false,"Camphin-en-Pévèle Course à pied","6.86","342","00:47:36","134","147","168","180","6:56","5:21","12","13","0.86","--","--","0.0","7,978","'-9","Non","00:05:28.0","7","00:47:32","01:28:28","48","57"
Course à pied,2026-05-10 11:26:04,false,"Raismes Course à pied","12.10","711","01:29:41","157","187","153","246","7:25","4:37","249","253","0.88","--","--","0.0","14,052","'-19","Non","00:00:39.0","13","01:29:01","01:34:51","19","85"
Marche à pied,2026-05-08 17:05:10,false,"Attiches Marche à pied","5.45","258","01:19:05","89","107","97","212","14:31","4:41","33","31","0.71","--","--","0.0","8,254","'-3","Non","00:05:55.1","6","01:08:48","01:19:05","31","62"
Course à pied,2026-05-08 11:41:46,false,"Camphin-en-Pévèle Course à pied","15.09","807","01:39:12","152","171","170","178","6:35","5:45","46","47","0.90","--","--","0.0","16,842","'-18","Non","00:00:32.4","16","01:39:04","01:39:21","41","57"
Course à pied,2026-05-05 20:23:44,false,"Camphin-en-Pévèle Course à pied","7.35","391","00:48:20","147","167","171","184","6:34","5:22","12","13","0.89","--","--","0.0","8,252","'-7","Non","00:02:29.2","8","00:48:18","00:48:26","47","57"
Course à pied,2026-05-01 16:54:00,false,"Cugny Course à pied","6.38","351","00:44:23","150","174","168","176","6:58","5:21","53","50","0.86","--","--","0.0","7,442","'-5","Non","00:02:40.7","7","00:44:19","00:44:31","67","99"
Course à pied,2026-04-30 17:30:22,false,"Libercourt Course à pied","10.03","552","01:02:38","158","176","172","181","6:15","5:30","56","57","0.93","--","--","0.0","10,762","'-11","Non","00:00:10.7","11","01:02:36","01:02:38","29","64"
Course à pied,2026-04-29 12:22:12,false,"Camphin-en-Pévèle Course à pied","6.40","345","00:36:37","166","184","176","186","5:43","4:57","9","9","0.99","--","--","0.0","6,422","'-9","Non","00:02:07.1","7","00:36:35","00:36:42","48","57"
Marche à pied,2026-04-26 17:35:58,false,"Attiches Marche à pied","7.02","320","01:32:23","90","140","104","240","13:09","4:54","42","41","0.73","--","--","0.0","10,052","'-3","Non","00:00:16.4","8","01:25:00","01:32:23","31","63"
Course à pied,2026-04-26 10:07:58,false,"Villeneuve-d'Ascq Course à pied","10.10","520","00:51:00","177","190","180","200","5:03","3:29","54","40","1.10","--","--","0.0","9,146","'-18","Non","00:00:21.0","11","00:50:56","00:51:00","22","47"
Course à pied,2026-04-24 16:35:33,false,"Camphin-en-Pévèle Course à pied","6.40","330","00:44:00","137","149","167","174","6:52","6:19","11","10","0.87","--","--","0.0","7,318","'-8","Non","00:02:46.1","7","00:43:58","00:44:05","48","57"
Course à pied,2026-04-22 17:16:33,false,"Camphin-en-Pévèle Course à pied","10.01","537","00:56:25","167","184","176","188","5:38","4:35","17","18","1.01","--","--","0.0","9,970","'-12","Non","00:00:01.9","11","00:56:22","00:58:10","47","58"
Course à pied,2026-04-20 19:03:50,false,"Camphin-en-Pévèle Course à pied","8.30","422","00:51:43","142","157","172","182","6:14","5:11","15","16","0.93","--","--","0.0","8,938","'-10","Non","00:01:47.4","9","00:51:40","00:51:43","47","57"
Course à pied,2026-04-17 17:11:48,false,"Camphin-en-Pévèle Course à pied","12.45","668","01:13:49","160","176","173","190","5:56","4:40","18","19","0.98","--","--","0.0","12,714","'-19","Non","00:02:21.2","13","01:13:46","01:14:26","47","59"
Course à pied,2026-04-15 18:38:48,false,"Libercourt - Fractionné 30/30","5.91","330","00:35:56","166","188","161","231","6:05","2:54","18","17","1.01","--","--","0.0","5,844","'-11","Non","00:00:03.3","36","00:35:53","00:39:23","27","45"
Course à pied,2026-04-14 19:48:36,false,"Bachy Course à pied","5.14","258","00:33:31","133","154","165","176","6:31","5:32","27","28","0.93","--","--","0.0","5,516","'-8","Non","00:00:57.5","6","00:33:14","00:36:49","52","74"
Course à pied,2026-04-13 12:22:06,false,"Camphin-en-Pévèle Course à pied","7.23","360","00:36:41","168","184","179","188","5:04","4:19","9","10","1.11","--","--","0.0","6,554","'-13","Non","00:01:14.1","8","00:36:39","00:37:50","47","57"
Course à pied,2026-04-08 17:28:00,false,"Villeneuve-d'Ascq Course à pied","5.44","302","00:31:59","165","182","172","179","5:53","5:18","26","30","0.99","--","--","0.0","5,478","'-7","Non","00:02:42.0","6","00:31:57","00:31:59","20","35"
Course à pied,2026-04-06 17:55:42,false,"Libercourt Course à pied","10.02","545","00:59:42","159","178","171","180","5:58","4:54","54","53","0.98","--","--","0.0","10,150","'-13","Non","00:00:05.5","11","00:59:32","00:59:52","29","64"
Course à pied,2026-04-03 12:13:51,false,"Camphin-en-Pévèle Course à pied","5.10","256","00:33:17","133","147","170","177","6:32","4:55","6","8","0.90","--","--","0.0","5,640","'-11","Non","00:00:37.7","6","00:33:15","00:33:23","47","57"
Course à pied,2026-04-01 12:27:19,false,"Camphin-en-Pévèle Course à pied","3.97","197","00:24:12","139","151","174","237","6:05","4:53","8","8","0.94","--","--","0.0","4,232","'-9","Non","00:05:30.3","4","00:24:11","00:30:14","44","55"
